FWxd90oVJj9Y1bzF0i6cBn7p,1419337394017,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337396129,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:7998,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337396862,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337396896,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337399450,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:8354,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337400205,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337400221,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337404563,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337405323,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337405353,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337415363,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337416125,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337416127,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337417996,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:56208,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337418754,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337418781,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337428195,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:56189,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337428932,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337428954,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337443114,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337443861,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337443877,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337453963,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337454748,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337454783,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337459603,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337460343,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337460348,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337475365,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337476121,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337476137,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337504690,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337505437,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337505463,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337512268,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337513111,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337513117,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337535327,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:7998,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337536072,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337536080,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337550629,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337551400,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337551421,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337946059,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337946785,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
